timestamp,value
14 MAY,92695753
15 MAY,97136636
16 MAY,113679633
17 MAY,145903258
18 MAY,108465378
19 MAY,247081010
20 MAY,715434845
21 MAY,319376388
22 MAY,305138790
23 MAY,264264278
24 MAY,309748679
25 MAY,966497983
26 MAY,3432411857
27 MAY,4234393133
28 MAY,3933106588
29 MAY,3384268994
30 MAY,4020715387
31 MAY,3634525604
1 JUN,3900806892
2 JUN,3917840681
3 JUN,3207663527
4 JUN,3030198837
5 JUN,2637619551
6 JUN,2445613647
7 JUN,2875153597
8 JUN,2484012536
9 JUN,2254239583
10 JUN,2313508582
11 JUN,2859412821
12 JUN,2858233363
