timestamp,value
1 MAY,411203668
2 MAY,413995305
3 MAY,331841680
4 MAY,337988454
5 MAY,248066614
6 MAY,548612396
7 MAY,325839544
8 MAY,223152823
9 MAY,254652068
10 MAY,383840914
11 MAY,688989815
12 MAY,487872262
13 MAY,330028261
14 MAY,268024940
15 MAY,257081893
16 MAY,735315124
17 MAY,401436831
18 MAY,296331371
19 MAY,665433608
20 MAY,1436029012
21 MAY,670456732
22 MAY,572758610
23 MAY,583620988
24 MAY,735787217
25 MAY,1675010415
26 MAY,4787219134
27 MAY,5872156979
28 MAY,4877508973
29 MAY,4152054374
30 MAY,5106409815
